State,Chamber,Name,URL,Party,Born,Tenure (years),Article length (characters),"Most common sentiment, BERT","Sentiment with highest weighted vote, BERT","Sentiment with highest weighted probability, BERT","Weighted probability of negative sentiment, BERT","Weighted probability of neutral sentiment, BERT","Weighted probability of positive sentiment, BERT","Number of paragraphs with negative sentiment, BERT","Number of paragraphs with neutral sentiment, BERT","Number of paragraphs with positive sentiment, BERT","Percent of paragraphs with negative sentiment, BERT","Percent of paragraphs with neutral sentiment, BERT","Percent of paragraphs with positive sentiment, BERT","Most common sentiment, RoBERTa","Sentiment with highest weighted vote, RoBERTa","Sentiment with highest weighted probability, RoBERTa","Weighted probability of negative sentiment, RoBERTa","Weighted probability of neutral sentiment, RoBERTa","Weighted probability of positive sentiment, RoBERTa","Number of paragraphs with negative sentiment, RoBERTa","Number of paragraphs with neutral sentiment, RoBERTa","Number of paragraphs with positive sentiment, RoBERTa","Percent of paragraphs with negative sentiment, RoBERTa","Percent of paragraphs with neutral sentiment, RoBERTa","Percent of paragraphs with positive sentiment, RoBERTa","Most common sentiment, RoBERTuito","Sentiment with highest weighted vote, RoBERTuito","Sentiment with highest weighted probability, RoBERTuito","Weighted probability of negative sentiment, RoBERTuito","Weighted probability of neutral sentiment, RoBERTuito","Weighted probability of positive sentiment, RoBERTuito","Number of paragraphs with negative sentiment, RoBERTuito","Number of paragraphs with neutral sentiment, RoBERTuito","Number of paragraphs with positive sentiment, RoBERTuito","Percent of paragraphs with negative sentiment, RoBERTuito","Percent of paragraphs with neutral sentiment, RoBERTuito","Percent of paragraphs with positive sentiment, RoBERTuito"
New York,House,Gregory Meeks,https://en.wikipedia.org/wiki/Gregory_Meeks,Democratic,"September 25, 1953 (age 72)",28,6778,Neutral,Neutral,Neutral,0.27014635,0.582229917,0.147623734,4,18,2,16.66666667,75,8.333333333,Neutral,Neutral,Neutral,0.169086003,0.748562526,0.08235145,3,21,0,12.5,87.5,0,Neutral,Neutral,Neutral,0.122336529,0.807022603,0.070640866,1,22,1,4.166666667,91.66666667,4.166666667
New York,House,Grace Meng,https://en.wikipedia.org/wiki/Grace_Meng,Democratic,"October 1, 1975 (age 49)",13,8860,Neutral,Neutral,Neutral,0.243357458,0.531626403,0.225016139,5,25,3,15.15151515,75.75757576,9.090909091,Neutral,Neutral,Neutral,0.164712207,0.650084887,0.185202895,6,23,4,18.18181818,69.6969697,12.12121212,Neutral,Neutral,Neutral,0.164403128,0.631026714,0.204570155,4,25,4,12.12121212,75.75757576,12.12121212
New York,House,Nydia Velázquez,https://en.wikipedia.org/wiki/Nydia_Velázquez,Democratic,"March 28, 1953 (age 72)",33,7858,Neutral,Neutral,Neutral,0.238757448,0.597683639,0.163558927,1,26,1,3.571428571,92.85714286,3.571428571,Neutral,Neutral,Neutral,0.060264363,0.80649331,0.133242333,1,27,0,3.571428571,96.42857143,0,Neutral,Neutral,Neutral,0.031750938,0.736232912,0.232016136,1,24,3,3.571428571,85.71428571,10.71428571
New York,House,Hakeem Jeffries,https://en.wikipedia.org/wiki/Hakeem_Jeffries,Democratic,"August 4, 1970 (age 55)",13,35681,Neutral,Neutral,Neutral,0.217336556,0.53414808,0.248515365,9,85,12,8.490566038,80.18867925,11.32075472,Neutral,Neutral,Neutral,0.081317209,0.722229708,0.19645308,3,90,13,2.830188679,84.90566038,12.26415094,Neutral,Neutral,Neutral,0.054179787,0.698865336,0.246954879,4,83,19,3.773584906,78.30188679,17.9245283
New York,House,Yvette Clarke,https://en.wikipedia.org/wiki/Yvette_Clarke,Democratic,"November 21, 1964 (age 60)",19,14008,Neutral,Neutral,Neutral,0.277533511,0.538598112,0.183868365,5,39,2,10.86956522,84.7826087,4.347826087,Neutral,Neutral,Neutral,0.154231173,0.752958183,0.092810631,3,40,3,6.52173913,86.95652174,6.52173913,Neutral,Neutral,Neutral,0.039108473,0.792065205,0.168826328,0,42,4,0,91.30434783,8.695652174
New York,House,Dan Goldman,https://en.wikipedia.org/wiki/Dan_Goldman,Democratic,"February 26, 1976 (age 49)",3,12168,Neutral,Neutral,Neutral,0.368380096,0.470833961,0.160785951,9,23,4,25,63.88888889,11.11111111,Neutral,Neutral,Neutral,0.164548608,0.696729988,0.138721395,5,29,2,13.88888889,80.55555556,5.555555556,Neutral,Neutral,Neutral,0.136069288,0.736878092,0.127052633,4,28,4,11.11111111,77.77777778,11.11111111
New York,House,Nicole Malliotakis,https://en.wikipedia.org/wiki/Nicole_Malliotakis,Republican,"November 11, 1980 (age 44)",5,12915,Neutral,Neutral,Neutral,0.352777267,0.477181731,0.170040998,12,29,4,26.66666667,64.44444444,8.888888889,Neutral,Neutral,Neutral,0.158635814,0.676092891,0.165271305,8,33,4,17.77777778,73.33333333,8.888888889,Neutral,Neutral,Neutral,0.106463213,0.6995533,0.193983488,4,37,4,8.888888889,82.22222222,8.888888889
New York,House,Jerry Nadler,https://en.wikipedia.org/wiki/Jerry_Nadler,Democratic,"June 13, 1947 (age 78)",33,12860,Neutral,Neutral,Neutral,0.316477099,0.529758763,0.153764131,11,37,2,22,74,4,Neutral,Neutral,Neutral,0.158238363,0.742339898,0.09942174,7,42,1,14,84,2,Neutral,Neutral,Neutral,0.106092929,0.750877443,0.143029634,3,39,8,6,78,16
New York,House,Adriano Espaillat,https://en.wikipedia.org/wiki/Adriano_Espaillat,Democratic,"September 27, 1954 (age 70)",9,13842,Neutral,Neutral,Neutral,0.269711366,0.555199658,0.175088973,8,42,3,15.09433962,79.24528302,5.660377358,Neutral,Neutral,Neutral,0.105491708,0.755785631,0.13872265,4,48,1,7.547169811,90.56603774,1.886792453,Neutral,Neutral,Neutral,0.092761895,0.719623191,0.187614919,4,43,6,7.547169811,81.13207547,11.32075472
New York,House,Alexandria Ocasio-Cortez,https://en.wikipedia.org/wiki/Alexandria_Ocasio-Cortez,Democratic,"October 13, 1989 (age 35)",7,70707,Neutral,Neutral,Neutral,0.388445777,0.409902012,0.201652214,45,77,18,32.14285714,55,12.85714286,Neutral,Neutral,Neutral,0.22657917,0.614808623,0.158612203,28,97,15,20,69.28571429,10.71428571,Neutral,Neutral,Neutral,0.198695366,0.576595879,0.224708751,21,92,27,15,65.71428571,19.28571429
New York,House,Ritchie Torres,https://en.wikipedia.org/wiki/Ritchie_Torres,Democratic,"March 12, 1988 (age 37)",5,25241,Neutral,Negative,Negative,0.434119399,0.428735096,0.137145506,17,40,0,29.8245614,70.1754386,0,Neutral,Neutral,Neutral,0.181353999,0.675628288,0.143017706,7,46,4,12.28070175,80.70175439,7.01754386,Neutral,Neutral,Neutral,0.158870507,0.654960667,0.186168833,7,43,7,12.28070175,75.43859649,12.28070175
New York,House,George Latimer,https://en.wikipedia.org/wiki/George_Latimer_(New_York_politician),Democratic,"November 22, 1953 (age 71)",1,7831,Neutral,Neutral,Neutral,0.361618376,0.513022602,0.125359007,6,19,0,24,76,0,Neutral,Neutral,Neutral,0.167236045,0.668287314,0.164476635,4,20,1,16,80,4,Neutral,Neutral,Neutral,0.215559008,0.554582551,0.229858434,5,15,5,20,60,20
New York,House,Mike Lawler,https://en.wikipedia.org/wiki/Mike_Lawler,Republican,"September 9, 1986 (age 39)",3,8199,Neutral,Neutral,Neutral,0.310465574,0.544307899,0.145226531,5,27,2,14.70588235,79.41176471,5.882352941,Neutral,Neutral,Neutral,0.232842119,0.637912993,0.129244891,6,23,5,17.64705882,67.64705882,14.70588235,Neutral,Neutral,Neutral,0.171169683,0.679158769,0.14967156,3,27,4,8.823529412,79.41176471,11.76470588
New York,House,Pat Ryan,https://en.wikipedia.org/wiki/Pat_Ryan_(politician),Democratic,"March 28, 1982 (age 43)",3,6301,Neutral,Neutral,Neutral,0.166753195,0.650636555,0.182610251,2,20,2,8.333333333,83.33333333,8.333333333,Neutral,Neutral,Neutral,0.02405795,0.809668427,0.166273626,1,21,2,4.166666667,87.5,8.333333333,Neutral,Neutral,Neutral,0.011154938,0.749844188,0.239000866,0,20,4,0,83.33333333,16.66666667
New York,House,Josh Riley,https://en.wikipedia.org/wiki/Josh_Riley,Democratic,"January 21, 1981 (age 44)",1,4694,Neutral,Neutral,Neutral,0.184756431,0.668846441,0.146397138,1,13,0,7.142857143,92.85714286,0,Neutral,Neutral,Neutral,0.02334028,0.870579127,0.106080587,0,14,0,0,100,0,Neutral,Neutral,Neutral,0.010836285,0.824317006,0.164846711,0,13,1,0,92.85714286,7.142857143
New York,House,Paul Tonko,https://en.wikipedia.org/wiki/Paul_Tonko,Democratic,"June 18, 1949 (age 76)",17,8500,Neutral,Neutral,Neutral,0.189148009,0.567956463,0.242895534,4,25,3,12.5,78.125,9.375,Neutral,Neutral,Neutral,0.069152842,0.704677092,0.22617007,3,25,4,9.375,78.125,12.5,Neutral,Neutral,Neutral,0.059428291,0.715063314,0.225508375,2,26,4,6.25,81.25,12.5
New York,House,Elise Stefanik,https://en.wikipedia.org/wiki/Elise_Stefanik,Republican,"July 2, 1984 (age 41)",11,32634,Neutral,Neutral,Neutral,0.353013434,0.466607057,0.180379516,19,60,8,21.83908046,68.96551724,9.195402299,Neutral,Neutral,Neutral,0.260699903,0.63755964,0.101740451,18,65,4,20.68965517,74.71264368,4.597701149,Neutral,Neutral,Neutral,0.222030919,0.632632737,0.145336341,13,66,8,14.94252874,75.86206897,9.195402299
New York,House,John Mannion,https://en.wikipedia.org/wiki/John_Mannion_(American_politician),Democratic,"July 8, 1968 (age 57)",1,2856,Neutral,Neutral,Neutral,0.211325456,0.691304656,0.097369882,1,15,0,6.25,93.75,0,Neutral,Neutral,Neutral,0.031377908,0.821648742,0.146973361,0,16,0,0,100,0,Neutral,Neutral,Neutral,0.067401096,0.737323154,0.195275738,1,13,2,6.25,81.25,12.5
New York,House,Nick Langworthy,https://en.wikipedia.org/wiki/Nick_Langworthy,Republican,"February 27, 1981 (age 44)",3,5884,Neutral,Neutral,Neutral,0.249140774,0.636325326,0.114533911,1,15,1,5.882352941,88.23529412,5.882352941,Neutral,Neutral,Neutral,0.096533419,0.795318607,0.108147972,0,17,0,0,100,0,Neutral,Neutral,Neutral,0.019734977,0.767694091,0.212570954,0,15,2,0,88.23529412,11.76470588
New York,House,Claudia Tenney,https://en.wikipedia.org/wiki/Claudia_Tenney,Republican,"February 4, 1961 (age 64)",5,15567,Neutral,Neutral,Neutral,0.339045208,0.53881715,0.122137648,10,35,2,21.27659574,74.46808511,4.255319149,Neutral,Neutral,Neutral,0.217184248,0.689005954,0.0938098,9,36,2,19.14893617,76.59574468,4.255319149,Neutral,Neutral,Neutral,0.207933829,0.676621312,0.115444862,6,37,4,12.76595745,78.72340426,8.510638298
New York,House,Joseph Morelle,https://en.wikipedia.org/wiki/Joseph_Morelle,Democratic,"April 29, 1957 (age 68)",7,6523,Neutral,Neutral,Neutral,0.267481095,0.609376423,0.123142502,2,22,0,8.333333333,91.66666667,0,Neutral,Neutral,Neutral,0.062226797,0.780843768,0.156929427,1,23,0,4.166666667,95.83333333,0,Neutral,Neutral,Neutral,0.106504048,0.703568352,0.189927613,1,19,4,4.166666667,79.16666667,16.66666667
New York,House,Tim Kennedy,https://en.wikipedia.org/wiki/Tim_Kennedy_(politician),Democratic,"October 20, 1976 (age 48)",1,11399,Neutral,Neutral,Neutral,0.217974049,0.577519159,0.204506796,3,35,2,7.5,87.5,5,Neutral,Neutral,Neutral,0.059017625,0.7954864,0.145495983,1,38,1,2.5,95,2.5,Neutral,Neutral,Neutral,0.025722927,0.726503311,0.247773759,0,32,8,0,80,20
North Carolina,House,Don Davis,https://en.wikipedia.org/wiki/Don_Davis_(North_Carolina_politician),Democratic,"August 29, 1971 (age 54)",3,5632,Neutral,Neutral,Neutral,0.173553149,0.700737207,0.125709631,1,23,0,4.166666667,95.83333333,0,Neutral,Neutral,Neutral,0.025602988,0.836601691,0.137795294,0,24,0,0,100,0,Neutral,Neutral,Neutral,0.008020693,0.829145142,0.162834169,0,23,1,0,95.83333333,4.166666667
North Carolina,House,Deborah Ross,https://en.wikipedia.org/wiki/Deborah_K._Ross,Democratic,"June 20, 1963 (age 62)",5,7196,Neutral,Neutral,Neutral,0.178669472,0.639281311,0.18204921,2,27,1,6.666666667,90,3.333333333,Neutral,Neutral,Neutral,0.058816969,0.724075194,0.217107832,2,25,3,6.666666667,83.33333333,10,Neutral,Neutral,Neutral,0.042460288,0.716549417,0.240990302,1,23,6,3.333333333,76.66666667,20
North Carolina,House,Greg Murphy,https://en.wikipedia.org/wiki/Greg_Murphy_(politician),Republican,"March 5, 1963 (age 62)",6,8381,Neutral,Neutral,Neutral,0.333955862,0.512611863,0.153432279,7,24,3,20.58823529,70.58823529,8.823529412,Neutral,Neutral,Neutral,0.244597991,0.673581048,0.081820972,7,26,1,20.58823529,76.47058824,2.941176471,Neutral,Neutral,Neutral,0.160257425,0.689992659,0.149749915,5,22,7,14.70588235,64.70588235,20.58823529
North Carolina,House,Valerie Foushee,https://en.wikipedia.org/wiki/Valerie_Foushee,Democratic,"May 7, 1956 (age 69)",3,3814,Neutral,Neutral,Neutral,0.151500829,0.679284137,0.169215027,1,18,1,5,90,5,Neutral,Neutral,Neutral,0.009969212,0.803204941,0.186825855,0,19,1,0,95,5,Neutral,Neutral,Neutral,0.006127957,0.789662101,0.204209965,0,17,3,0,85,15
North Carolina,House,Virginia Foxx,https://en.wikipedia.org/wiki/Virginia_Foxx,Republican,"June 29, 1943 (age 82)",21,9346,Neutral,Neutral,Neutral,0.363261703,0.523963247,0.11277506,9,27,0,25,75,0,Neutral,Neutral,Neutral,0.317597742,0.606585537,0.075816719,12,24,0,33.33333333,66.66666667,0,Neutral,Neutral,Neutral,0.253709198,0.663386109,0.082904691,7,26,3,19.44444444,72.22222222,8.333333333
North Carolina,House,Addison McDowell,https://en.wikipedia.org/wiki/Addison_McDowell,Republican,"January 21, 1994 (age 31)",1,1471,Neutral,Neutral,Neutral,0.174661672,0.715069155,0.110269198,0,6,0,0,100,0,Neutral,Neutral,Neutral,0.067656647,0.864368327,0.067975041,1,5,0,16.66666667,83.33333333,0,Neutral,Neutral,Neutral,0.07483609,0.842087458,0.083076436,1,5,0,16.66666667,83.33333333,0
North Carolina,House,David Rouzer,https://en.wikipedia.org/wiki/David_Rouzer,Republican,"February 16, 1972 (age 53)",11,7500,Neutral,Neutral,Neutral,0.209879572,0.628678069,0.161442372,1,31,1,3.03030303,93.93939394,3.03030303,Neutral,Neutral,Neutral,0.064123277,0.800450736,0.135425984,0,32,1,0,96.96969697,3.03030303,Neutral,Neutral,Neutral,0.03591971,0.837473247,0.126607031,0,31,2,0,93.93939394,6.060606061
North Carolina,House,Mark Harris,https://en.wikipedia.org/wiki/Mark_Harris_(North_Carolina_politician),Republican,"April 24, 1966 (age 59)",1,8210,Neutral,Neutral,Neutral,0.407149663,0.508588352,0.084261971,6,22,0,21.42857143,78.57142857,0,Neutral,Neutral,Neutral,0.173447599,0.735155663,0.091396732,4,24,0,14.28571429,85.71428571,0,Neutral,Neutral,Neutral,0.104168633,0.821670292,0.074161082,1,26,1,3.571428571,92.85714286,3.571428571
North Carolina,House,Richard Hudson,https://en.wikipedia.org/wiki/Richard_Hudson_(American_politician),Republican,"November 4, 1971 (age 53)",13,6319,Neutral,Neutral,Neutral,0.234320999,0.62656203,0.13911696,1,26,1,3.571428571,92.85714286,3.571428571,Neutral,Neutral,Neutral,0.134886133,0.758473044,0.106640823,3,25,0,10.71428571,89.28571429,0,Neutral,Neutral,Neutral,0.115636115,0.785135043,0.099228825,3,25,0,10.71428571,89.28571429,0
North Carolina,House,Pat Harrigan,https://en.wikipedia.org/wiki/Pat_Harrigan,Republican,"June 21, 1987 (age 38)",1,2205,Neutral,Neutral,Neutral,0.112328379,0.741597745,0.146073852,0,11,0,0,100,0,Neutral,Neutral,Neutral,0.038320581,0.814424512,0.147254914,0,11,0,0,100,0,Neutral,Neutral,Neutral,0.005628866,0.873661119,0.120710033,0,11,0,0,100,0
North Carolina,House,Chuck Edwards,https://en.wikipedia.org/wiki/Chuck_Edwards,Republican,"September 13, 1960 (age 65)",3,3517,Neutral,Neutral,Neutral,0.32838413,0.57230863,0.099307242,4,10,0,28.57142857,71.42857143,0,Neutral,Neutral,Neutral,0.201546763,0.692294103,0.106159142,2,12,0,14.28571429,85.71428571,0,Neutral,Neutral,Neutral,0.193091202,0.698630237,0.10827855,2,11,1,14.28571429,78.57142857,7.142857143
North Carolina,House,Alma Adams,https://en.wikipedia.org/wiki/Alma_Adams,Democratic,"May 27, 1946 (age 79)",11,8544,Neutral,Neutral,Neutral,0.162949311,0.669735052,0.167315639,0,28,1,0,96.55172414,3.448275862,Neutral,Neutral,Neutral,0.01632886,0.801069869,0.182601264,0,28,1,0,96.55172414,3.448275862,Neutral,Neutral,Neutral,0.006210848,0.813054155,0.180734992,0,27,2,0,93.10344828,6.896551724
North Carolina,House,Brad Knott,https://en.wikipedia.org/wiki/Brad_Knott,Republican,"April 17, 1986 (age 39)",1,3828,Neutral,Negative,Neutral,0.409163219,0.498956722,0.091880075,6,9,1,37.5,56.25,6.25,Neutral,Neutral,Neutral,0.249613085,0.683978651,0.066408245,5,11,0,31.25,68.75,0,Neutral,Neutral,Neutral,0.154566572,0.764429392,0.081004064,3,12,1,18.75,75,6.25
North Carolina,House,Tim Moore,https://en.wikipedia.org/wiki/Tim_Moore_(North_Carolina_politician),Republican,"October 2, 1970 (age 54)",1,9349,Neutral,Negative,Neutral,0.344360647,0.545471459,0.110167894,9,19,2,30,63.33333333,6.666666667,Neutral,Neutral,Neutral,0.194398165,0.705382213,0.100219631,3,25,2,10,83.33333333,6.666666667,Neutral,Neutral,Neutral,0.112883486,0.761220702,0.125895817,3,22,5,10,73.33333333,16.66666667
North Dakota,House,Julie Fedorchak,https://en.wikipedia.org/wiki/Julie_Fedorchak,Republican,"September 28, 1968 (age 56)",1,4760,Neutral,Neutral,Neutral,0.269184665,0.586101226,0.144714128,4,12,2,22.22222222,66.66666667,11.11111111,Neutral,Neutral,Neutral,0.054312469,0.7904963,0.155191207,0,18,0,0,100,0,Neutral,Neutral,Neutral,0.066322635,0.75322646,0.180450886,1,15,2,5.555555556,83.33333333,11.11111111
Ohio,House,Greg Landsman,https://en.wikipedia.org/wiki/Greg_Landsman,Democratic,"December 4, 1976 (age 48)",3,4690,Neutral,Neutral,Neutral,0.127474266,0.697066725,0.175458999,0,17,0,0,100,0,Neutral,Neutral,Neutral,0.010269089,0.813515965,0.176214941,0,17,0,0,100,0,Neutral,Neutral,Neutral,0.004960651,0.798732565,0.196306782,0,16,1,0,94.11764706,5.882352941
Ohio,House,David Taylor,https://en.wikipedia.org/wiki/David_Taylor_(Ohio_politician),Republican,"November 16, 1969 (age 55)",1,1445,Neutral,Neutral,Neutral,0.110915714,0.790630763,0.098453553,0,9,0,0,100,0,Neutral,Neutral,Neutral,0.013089649,0.875346786,0.111563564,0,9,0,0,100,0,Neutral,Neutral,Neutral,0.006688867,0.936908659,0.056402478,0,9,0,0,100,0
Ohio,House,Joyce Beatty,https://en.wikipedia.org/wiki/Joyce_Beatty,Democratic,"March 12, 1950 (age 75)",13,8749,Neutral,Neutral,Neutral,0.268987359,0.527368686,0.203643934,4,22,3,13.79310345,75.86206897,10.34482759,Neutral,Neutral,Neutral,0.09935497,0.772636413,0.128008609,2,27,0,6.896551724,93.10344828,0,Neutral,Neutral,Neutral,0.055488932,0.755847082,0.188663974,1,27,1,3.448275862,93.10344828,3.448275862
Ohio,House,Jim Jordan,https://en.wikipedia.org/wiki/Jim_Jordan,Republican,"February 17, 1964 (age 61)",19,28830,Neutral,Neutral,Neutral,0.436622539,0.458411056,0.104966406,32,48,3,38.55421687,57.8313253,3.614457831,Neutral,Neutral,Neutral,0.303991226,0.631874877,0.064133886,22,60,1,26.5060241,72.28915663,1.204819277,Neutral,Neutral,Neutral,0.260123621,0.68027755,0.059598836,17,62,4,20.48192771,74.69879518,4.819277108
Ohio,House,Bob Latta,https://en.wikipedia.org/wiki/Bob_Latta,Republican,"April 18, 1956 (age 69)",18,3990,Neutral,Neutral,Neutral,0.151990339,0.710062541,0.137947152,0,16,0,0,100,0,Neutral,Neutral,Neutral,0.085149949,0.768528124,0.146321927,1,14,1,6.25,87.5,6.25,Neutral,Neutral,Neutral,0.048536222,0.851384576,0.100079209,1,15,0,6.25,93.75,0
Ohio,House,Michael Rulli,https://en.wikipedia.org/wiki/Michael_Rulli,Republican,"March 11, 1969 (age 56)",1,5769,Neutral,Neutral,Neutral,0.242683526,0.637352047,0.119964453,4,19,2,16,76,8,Neutral,Neutral,Neutral,0.169830748,0.712886426,0.117282834,2,22,1,8,88,4,Neutral,Neutral,Neutral,0.086649081,0.78482545,0.128525468,1,22,2,4,88,8
Ohio,House,Max Miller,https://en.wikipedia.org/wiki/Max_Miller_(politician),Republican,"November 13, 1988 (age 36)",3,9558,Neutral,Neutral,Neutral,0.422691657,0.423773014,0.153535326,10,24,2,27.77777778,66.66666667,5.555555556,Neutral,Neutral,Neutral,0.329525409,0.595204437,0.075270161,9,27,0,25,75,0,Neutral,Neutral,Neutral,0.388478574,0.553886126,0.057635304,10,24,2,27.77777778,66.66666667,5.555555556
Ohio,House,Warren Davidson,https://en.wikipedia.org/wiki/Warren_Davidson,Republican,"March 1, 1970 (age 55)",9,11272,Neutral,Neutral,Neutral,0.354576586,0.546572514,0.098850895,9,30,1,22.5,75,2.5,Neutral,Neutral,Neutral,0.247804664,0.698346959,0.053848363,11,29,0,27.5,72.5,0,Neutral,Neutral,Neutral,0.19362094,0.766879149,0.039499919,7,33,0,17.5,82.5,0
Ohio,House,Marcy Kaptur,https://en.wikipedia.org/wiki/Marcy_Kaptur,Democratic,"June 17, 1946 (age 79)",43,16014,Neutral,Neutral,Neutral,0.287868942,0.483731525,0.228399527,6,24,5,17.14285714,68.57142857,14.28571429,Neutral,Neutral,Neutral,0.143292812,0.687378458,0.169328729,4,28,3,11.42857143,80,8.571428571,Neutral,Neutral,Neutral,0.128622731,0.631841562,0.23953572,2,26,7,5.714285714,74.28571429,20
Ohio,House,Mike Turner,https://en.wikipedia.org/wiki/Mike_Turner,Republican,"January 11, 1960 (age 65)",23,18658,Neutral,Neutral,Neutral,0.24664213,0.55928352,0.19407434,8,49,4,13.1147541,80.32786885,6.557377049,Neutral,Neutral,Neutral,0.124945147,0.754161636,0.120893224,6,54,1,9.836065574,88.52459016,1.639344262,Neutral,Neutral,Neutral,0.10216471,0.763359204,0.13447608,5,53,3,8.196721311,86.8852459,4.918032787
Ohio,House,Shontel Brown,https://en.wikipedia.org/wiki/Shontel_Brown,Democratic,"June 24, 1975 (age 50)",4,3025,Neutral,Neutral,Neutral,0.108005817,0.734502816,0.157491371,0,14,1,0,93.33333333,6.666666667,Neutral,Neutral,Neutral,0.013897268,0.783341131,0.20276161,0,14,1,0,93.33333333,6.666666667,Neutral,Neutral,Neutral,0.004698732,0.875002791,0.120298457,0,14,1,0,93.33333333,6.666666667
Ohio,House,Troy Balderson,https://en.wikipedia.org/wiki/Troy_Balderson,Republican,"January 16, 1962 (age 63)",7,4266,Neutral,Neutral,Neutral,0.212473885,0.676319034,0.111207082,1,20,0,4.761904762,95.23809524,0,Neutral,Neutral,Neutral,0.042493222,0.877400823,0.080105954,0,21,0,0,100,0,Neutral,Neutral,Neutral,0.032502258,0.869209853,0.098287886,1,19,1,4.761904762,90.47619048,4.761904762
Ohio,House,Emilia Sykes,https://en.wikipedia.org/wiki/Emilia_Sykes,Democratic,"January 4, 1986 (age 39)",3,9075,Neutral,Neutral,Neutral,0.216556953,0.616485798,0.166957252,2,30,2,5.882352941,88.23529412,5.882352941,Neutral,Neutral,Neutral,0.174117168,0.661086641,0.164796177,4,29,1,11.76470588,85.29411765,2.941176471,Neutral,Neutral,Neutral,0.185468769,0.642557341,0.171973885,4,26,4,11.76470588,76.47058824,11.76470588
Ohio,House,David Joyce,https://en.wikipedia.org/wiki/David_Joyce_(politician),Republican,"March 17, 1957 (age 68)",13,10224,Neutral,Neutral,Neutral,0.259989389,0.563791136,0.176219472,6,33,1,15,82.5,2.5,Neutral,Neutral,Neutral,0.151017251,0.72359437,0.12538837,7,32,1,17.5,80,2.5,Neutral,Neutral,Neutral,0.162341413,0.694820565,0.142838016,6,32,2,15,80,5
Ohio,House,Mike Carey,https://en.wikipedia.org/wiki/Mike_Carey_(politician),Republican,"March 13, 1971 (age 54)",4,4275,Neutral,Neutral,Neutral,0.156296242,0.593159381,0.250544385,1,14,3,5.555555556,77.77777778,16.66666667,Neutral,Neutral,Neutral,0.018594191,0.776289888,0.205115938,1,15,2,5.555555556,83.33333333,11.11111111,Neutral,Neutral,Neutral,0.009005066,0.7232255,0.267769414,0,15,3,0,83.33333333,16.66666667
Oklahoma,House,Kevin Hern,https://en.wikipedia.org/wiki/Kevin_Hern,Republican,"December 4, 1961 (age 63)",7,10211,Neutral,Neutral,Neutral,0.243212763,0.621656509,0.135130734,3,22,1,11.53846154,84.61538462,3.846153846,Neutral,Neutral,Neutral,0.103811825,0.797399916,0.098788268,2,24,0,7.692307692,92.30769231,0,Neutral,Neutral,Neutral,0.055700044,0.849815021,0.094484925,0,26,0,0,100,0
Oklahoma,House,Josh Brecheen,https://en.wikipedia.org/wiki/Josh_Brecheen,Republican,"June 19, 1979 (age 46)",3,5383,Neutral,Neutral,Neutral,0.213043581,0.630981799,0.155974624,2,18,0,10,90,0,Neutral,Neutral,Neutral,0.152785993,0.779594512,0.067619496,3,17,0,15,85,0,Neutral,Neutral,Neutral,0.111843484,0.791245995,0.096910504,2,17,1,10,85,5
Oklahoma,House,Frank Lucas,https://en.wikipedia.org/wiki/Frank_Lucas_(Oklahoma_politician),Republican,"January 6, 1960 (age 65)",31,5010,Neutral,Neutral,Neutral,0.268987283,0.616309684,0.11470301,2,19,0,9.523809524,90.47619048,0,Neutral,Neutral,Neutral,0.081417064,0.822968816,0.095614119,1,20,0,4.761904762,95.23809524,0,Neutral,Neutral,Neutral,0.028824206,0.869312684,0.101863125,0,20,1,0,95.23809524,4.761904762
Oklahoma,House,Tom Cole,https://en.wikipedia.org/wiki/Tom_Cole,Republican,"April 28, 1949 (age 76)",23,8921,Neutral,Neutral,Neutral,0.168995711,0.589020014,0.241984258,2,28,3,6.060606061,84.84848485,9.090909091,Neutral,Neutral,Neutral,0.07754662,0.713648035,0.208805347,2,29,2,6.060606061,87.87878788,6.060606061,Neutral,Neutral,Neutral,0.077958687,0.606605873,0.315435424,3,24,6,9.090909091,72.72727273,18.18181818
Oklahoma,House,Stephanie Bice,https://en.wikipedia.org/wiki/Stephanie_Bice,Republican,"November 11, 1973 (age 51)",5,6038,Neutral,Neutral,Neutral,0.124929679,0.674177856,0.20089246,0,33,3,0,91.66666667,8.333333333,Neutral,Neutral,Neutral,0.054099802,0.812723291,0.133176895,1,33,2,2.777777778,91.66666667,5.555555556,Neutral,Neutral,Neutral,0.021209909,0.809790258,0.168999819,1,32,3,2.777777778,88.88888889,8.333333333
Oregon,House,Suzanne Bonamici,https://en.wikipedia.org/wiki/Suzanne_Bonamici,Democratic,"October 14, 1954 (age 70)",14,4938,Neutral,Neutral,Neutral,0.18137996,0.63137934,0.187240706,1,23,1,4,92,4,Neutral,Neutral,Neutral,0.044992666,0.772875304,0.182132019,0,23,2,0,92,8,Neutral,Neutral,Neutral,0.031215925,0.758707338,0.210076741,0,22,3,0,88,12
